K09O13W 16.7   0.15 K14C9  66.62232  353.23246  327.11358    4.00619  0.1592607  0.21857394   2.7294206  0 E2014-U41    56   6 2007-2014 0.33 M-v 38h MPCADO     0400          2009 OW13          20141023
K09P04Q 16.8   0.15 K14C9  52.09516  156.56773  186.65683    4.58880  0.1696832  0.21663298   2.7456995  0 E2014-U41    69   8 2003-2014 0.33 M-v 38h MPCADO     0400          2009 PQ4           20141015
K09S46U 16.4   0.15 K14C9 260.67894  319.64997  216.13324   13.18366  0.1404665  0.21230837   2.7828597  1 E2014-U41    36   4 2007-2014 0.30 M-v 38h MPCADO     0000          2009 SU46          20141023
K09SE2A 17.1   0.15 K14C9  84.87694   68.57337  236.32324    1.69473  0.0669135  0.20133879   2.8830427  1 E2014-U41    48   6 1999-2014 0.30 M-v 38h MPCADO     0400          2009 SA142         20141022
K09V16P 17.2   0.15 K14C9  11.16085    5.32505   29.32776    2.82169  0.1954369  0.18895001   3.0077248  3 E2014-U41    37   3 1993-2014 0.46 M-v 38h MPCADO     0000          2009 VP16          20141023
K09V26B 17.4   0.15 K14C9  37.10952  148.68304  222.03874   15.57802  0.2449107  0.20436726   2.8544898  3 E2014-U41    39   2 2009-2014 0.43 M-v 38h MPCADO     0000          2009 VB26          20141023
K09V38T 15.5   0.15 K14C9 330.70655   25.25431   51.51338   20.02241  0.0915095  0.18548779   3.0450364  0 E2014-U41    47   4 1998-2014 0.38 M-v 38h MPCADO     0000          2009 VT38          20141021
K09WC7H 16.2   0.15 K14C9  58.10112  272.89624   75.83192   10.73009  0.0725504  0.18550554   3.0448423  2 E2014-U41    28   3 2009-2014 0.27 M-v 38h MPCADO     0000          2009 WH127         20141023
K09WD0X 16.9   0.15 K14C9  34.77389  294.29223   79.15910   11.53434  0.1231325  0.18740221   3.0242632  4 E2014-U41    23   2 2009-2014 0.19 M-v 38h MPCADO     0000          2009 WX130         20141023
K09WD9G 16.5   0.15 K14C9 329.74462  303.93816  157.67011    5.29716  0.2032737  0.19120265   2.9840546  2 E2014-U41    37   3 2009-2014 0.48 M-v 38h MPCADO     0000          2009 WG139         20141023
